case_label,case_name,surface,profile,ntwr,reference_towers,n_repeats,rms_error_mean,rms_error_std,rel_rms_error_mean,rel_rms_error_std,max_abs_error_mean,max_abs_error_std
i800,Patch_8_9mps,forested,Skew,1,1000,100,0.10389998411089894,0.02603145808136736,0.3325666112368834,0.08332237847538995,0.3660813436171322,0.14470438900186883
i800,Patch_8_9mps,forested,Skew,10,1000,100,0.03461943133762282,0.007848019302307666,0.11081105604994468,0.025120207732700954,0.11912742573975571,0.0496857059072103
i800,Patch_8_9mps,forested,Skew,100,1000,100,0.010458626083288436,0.002404280939912963,0.03347632691647404,0.007695704397748871,0.03638332170407861,0.015738065614526616
i800,Patch_8_9mps,forested,Skew,1000,1000,1,0.0,0.0,0.0,0.0,0.0,0.0
i800,Patch_8_9mps,patches,U,1,1000,100,1.908115753360692,1.192697794624564,0.1489488784936739,0.09310284167945107,2.7574914135575104,1.4915938222410667
i800,Patch_8_9mps,patches,U,10,1000,100,0.6244412442676258,0.4519692844248695,0.048744329506762094,0.03528104514105284,0.8922135528411951,0.5073042220123867
i800,Patch_8_9mps,patches,U,100,1000,100,0.20958057271034936,0.12454807406739553,0.016360009189320655,0.009722311614592511,0.2955899578546121,0.14415839038881428
i800,Patch_8_9mps,patches,U,1000,1000,1,0.0,0.0,0.0,0.0,0.0,0.0
i800,Patch_8_9mps,patches,Shear,1,1000,100,0.16109242350968164,0.0709162419143255,0.3300026384802278,0.1452740385485792,0.36378450106050286,0.21796181010077903
i800,Patch_8_9mps,patches,Shear,10,1000,100,0.04891189432974764,0.02116417532504064,0.10019747564920543,0.04335544494494363,0.1255436453899774,0.06155742256359764
i800,Patch_8_9mps,patches,Shear,100,1000,100,0.015904246501364322,0.007365828717565976,0.03258032373058641,0.015089120012178088,0.041002329899889084,0.020633931522973416
i800,Patch_8_9mps,patches,Shear,1000,1000,1,0.0,0.0,0.0,0.0,0.0,0.0
i800,Patch_8_9mps,patches,PHI,1,1000,100,0.24117636300752007,0.08354300342327395,0.24056924621365536,0.0833326993961476,0.6622619765661019,0.35975785953041234
i800,Patch_8_9mps,patches,PHI,10,1000,100,0.07420629649983096,0.028488915262989887,0.0740194959019044,0.0284171996989957,0.19720228799602485,0.0902816841673963
i800,Patch_8_9mps,patches,PHI,100,1000,100,0.02343804708627038,0.006931724211708078,0.023379046146775228,0.006914274880741777,0.06516814951919744,0.025145965777365584
i800,Patch_8_9mps,patches,PHI,1000,1000,1,0.0,0.0,0.0,0.0,0.0,0.0
i800,Patch_8_9mps,patches,Skew,1,1000,100,0.09249629919912408,0.023730425816818394,0.3009237516828168,0.07720361601121649,0.2678361590484063,0.11719936569213839
i800,Patch_8_9mps,patches,Skew,10,1000,100,0.03043500757664932,0.008158569402966727,0.09901603352523106,0.026542762622535677,0.08412644479598202,0.03121689392748472
i800,Patch_8_9mps,patches,Skew,100,1000,100,0.009078074620137407,0.002084598150103057,0.029534244033562168,0.006781948051020103,0.024557333977421533,0.006028354735657872
i800,Patch_8_9mps,patches,Skew,1000,1000,1,0.0,0.0,0.0,0.0,0.0,0.0
i400,Patch_4_9mps,forested,U,1,1000,100,1.0629058451253062,0.7257016453412,0.08557137087579657,0.05842406919057512,1.9266621833805018,0.7083672604767614
i400,Patch_4_9mps,forested,U,10,1000,100,0.31773608729079444,0.21942497587251755,0.025579982169521065,0.017665248597429954,0.5595463342569762,0.2558541002223794
i400,Patch_4_9mps,forested,U,100,1000,100,0.108749542927583,0.06861736552046259,0.008755100475839885,0.005524178891667857,0.1739951953833619,0.07175578051043716
i400,Patch_4_9mps,forested,U,1000,1000,1,0.0,0.0,0.0,0.0,0.0,0.0
i400,Patch_4_9mps,forested,Shear,1,1000,100,0.1492947935954034,0.06015729968863368,0.2522467666583321,0.1016410818616875,0.5295885665137411,0.2191046891752118
i400,Patch_4_9mps,forested,Shear,10,1000,100,0.050814867034498175,0.02400433812613536,0.08585621506910927,0.04055745369460356,0.1721321449670993,0.08497081178740702
i400,Patch_4_9mps,forested,Shear,100,1000,100,0.015752716181036,0.006137042785457482,0.026615608133806087,0.010369076926224146,0.054258225123323775,0.023364979219148735
i400,Patch_4_9mps,forested,Shear,1000,1000,1,0.0,0.0,0.0,0.0,0.0,0.0
i400,Patch_4_9mps,forested,PHI,1,1000,100,0.26942698703181195,0.07355672793778989,0.2500188154089908,0.06825806941973568,1.199885601082358,0.5625605717082306
i400,Patch_4_9mps,forested,PHI,10,1000,100,0.08117952473813085,0.02100906575485662,0.07533175809183466,0.019495677811438582,0.33032163374204876,0.15226256658513246
i400,Patch_4_9mps,forested,PHI,100,1000,100,0.023748454793844433,0.0074394914228065314,0.022037734975115505,0.006903587696490923,0.09910051698762215,0.045710631850523264
i400,Patch_4_9mps,forested,PHI,1000,1000,1,0.0,0.0,0.0,0.0,0.0,0.0
i400,Patch_4_9mps,forested,Skew,1,1000,100,0.10593138049590443,0.022725237166190872,0.3320915206369881,0.0712428982991334,0.40285401844239793,0.14101889907490858
i400,Patch_4_9mps,forested,Skew,10,1000,100,0.03372237140948165,0.008121230627871347,0.10571856562648146,0.02545980063724129,0.12907860762345688,0.04713970184181508
i400,Patch_4_9mps,forested,Skew,100,1000,100,0.009930753377376665,0.002287609251309444,0.031132597108856023,0.007171582503071096,0.037471673522272556,0.014037623900985953
i400,Patch_4_9mps,forested,Skew,1000,1000,1,0.0,0.0,0.0,0.0,0.0,0.0
i400,Patch_4_9mps,patches,U,1,1000,100,0.9543094512374569,0.5764638183585933,0.08517028344173039,0.05144828728232602,1.8084471226190428,1.0004970645979314
i400,Patch_4_9mps,patches,U,10,1000,100,0.3215049554128754,0.19599608998649526,0.028693699035389694,0.01749227414228661,0.6093986774924948,0.3102008890575968
i400,Patch_4_9mps,patches,U,100,1000,100,0.10303481408543234,0.06109638144084194,0.009195659027208664,0.005452734558830011,0.1825565644212896,0.09941507251745305
i400,Patch_4_9mps,patches,U,1000,1000,1,0.0,0.0,0.0,0.0,0.0,0.0
i400,Patch_4_9mps,patches,Shear,1,1000,100,0.1201296002311242,0.05355640119018337,0.24775963067691747,0.1104566580903911,0.3602771129530391,0.20578546469307574
i400,Patch_4_9mps,patches,Shear,10,1000,100,0.03960208135274967,0.016529374797652815,0.08167676435380639,0.0340907801849636,0.11680489966489618,0.05616424549804805
i400,Patch_4_9mps,patches,Shear,100,1000,100,0.011920823276691292,0.004320802812719081,0.02458593691076496,0.008911379935065378,0.03582184369240541,0.01596381373472631
i400,Patch_4_9mps,patches,Shear,1000,1000,1,0.0,0.0,0.0,0.0,0.0,0.0
i400,Patch_4_9mps,patches,PHI,1,1000,100,0.22930981918872576,0.0914798369017253,0.2275676487071404,0.0907848231771745,0.7297803569537343,0.4372348923363161
